,Date,start,end,INP,T,INP_plus,INP_minus
303,2016-10-04 00:00:00,2016-10-04 10:33:00,2016-10-04 13:20:00,4.92923732717,-22.0,6.80260194757,3.36258727762
304,2016-10-05 00:00:00,2016-10-05 13:39:00,2016-10-05 14:39:00,45.8742201448,-22.0,54.5871824799,37.961591143
306,2016-10-05 00:00:00,2016-10-05 11:16:00,2016-10-05 12:18:00,3.67085011063,-22.0,6.21838716746,1.84379317382
307,2016-10-06 00:00:00,2016-10-06 14:24:00,2016-10-06 16:54:00,3.18653643289,-22.0,4.61291423,2.02693641357
308,2016-10-06 00:00:00,2016-10-06 11:40:00,2016-10-06 14:10:00,0.644694486431,-22.0,0.917202813117,0.423407493079
312,2016-10-07 00:00:00,2016-10-07 10:41:00,2016-10-07 12:41:00,12.9090365378,-22.0,16.2995895914,9.93971155428
313,2016-10-07 00:00:00,2016-10-07 13:02:00,2016-10-07 15:02:00,3.08769715509,-22.0,4.54025175234,1.94899876699
315,2016-10-07 00:00:00,2016-10-07 13:02:00,2016-10-07 15:02:00,2.02789390353,-22.0,3.44791310346,1.00804137026
316,2016-10-10 00:00:00,2016-10-10 12:39:00,2016-10-10 13:39:00,7.07554964104,-22.0,11.1107143353,3.9550516135
317,2016-10-10 00:00:00,2016-10-10 13:50:00,2016-10-10 16:36:00,4.43196864445,-22.0,5.97136256902,3.13363897691
318,2016-10-10 00:00:00,2016-10-10 11:29:00,2016-10-10 16:36:00,2.40260242062,-22.0,3.2543127874,1.68690678264
319,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,1.01961139893,-22.0,1.72250938931,0.505954787859
321,2016-10-11 00:00:00,2016-10-11 10:40:00,2016-10-11 14:03:00,3.32726277389,-22.0,4.52975884568,2.31029746613
322,2016-10-11 00:00:00,2016-10-11 14:10:00,2016-10-11 16:24:00,1.9671983154,-22.0,3.14162952008,1.07945367788
323,2016-10-13 00:00:00,2016-10-13 10:39:00,2016-10-13 14:42:00,5.30034481072,-22.0,6.79850715785,3.99979563232
324,2016-10-13 00:00:00,2016-10-13 10:41:00,2016-10-13 14:42:00,5.92040513018,-22.0,7.53406963759,4.50599373482
325,2016-10-14 00:00:00,2016-10-14 10:39:00,2016-10-14 12:19:00,8.55207985568,-22.0,11.1344849393,6.31267477206
327,2016-10-17 00:00:00,2016-10-17 11:46:00,2016-10-17 14:49:00,2.87860917581,-22.0,4.22016233267,1.79946039054
328,2016-10-17 00:00:00,2016-10-17 15:10:00,2016-10-17 17:11:00,7.41905539039,-22.0,9.424112729,5.66203524187
329,2016-10-18 00:00:00,2016-10-18 14:15:00,2016-10-18 16:10:00,4.26375638697,-22.0,6.09727526869,2.76428967916
330,2016-10-18 00:00:00,2016-10-18 10:45:00,2016-10-18 13:52:00,2.8263241573,-22.0,3.44128875393,2.27412173685
331,2016-10-18 00:00:00,2016-10-18 14:00:00,2016-10-18 16:15:00,3.12533398686,-22.0,3.85205828141,2.47749718481
332,2016-10-18 00:00:00,2016-10-18 10:55:00,2016-10-18 14:15:00,1.80761048448,-22.0,2.905684991,0.98393597795
333,2016-10-18 00:00:00,2016-10-18 10:55:00,2016-10-18 16:10:00,1.34002277889,-22.0,1.96112411684,0.843365885391
337,2016-10-21 00:00:00,2016-10-21 11:42:00,2016-10-21 16:36:00,6.69174964295,-22.0,8.24702106727,5.3084080432
338,2016-10-21 00:00:00,2016-10-21 14:42:00,2016-10-21 16:36:00,11.61618111,-22.0,14.330796359,9.19716450671
339,2016-10-21 00:00:00,2016-10-21 14:42:00,2016-10-21 16:36:00,3.51459938119,-22.0,5.23080044656,2.14225796494
340,2016-10-24 00:00:00,2016-10-24 12:05:00,2016-10-24 15:37:00,4.64277533088,-22.0,6.40953930417,3.1780239362
341,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,7.31028692754,-22.0,8.83759675423,5.93423310526
342,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,8.09169676621,-22.0,9.58529087872,6.72848106876
343,2016-10-27 00:00:00,2016-10-27 11:49:00,2016-10-27 15:58:00,2.5069751976,-22.0,3.28691473033,1.83417533467
344,2016-10-31 00:00:00,2016-10-31 10:17:00,2016-10-31 17:30:00,2.00080984989,-22.0,2.69654658539,1.41069282185
345,2016-10-31 00:00:00,2016-10-31 10:17:00,2016-10-31 17:30:00,0.813598499136,-22.0,1.15446653414,0.534628525249
347,2016-11-02 00:00:00,2016-11-02 10:29:00,2016-11-02 15:29:00,1.68501093004,-22.0,2.33264778964,1.14776487503
348,2016-09-26 00:00:00,2016-09-26 12:00:00,2016-09-26 15:00:00,1.20614479757,-21.0,1.9826159796,0.63891108832
349,2016-09-26 00:00:00,2016-09-26 12:11:00,2016-09-26 15:12:00,0.934407527557,-21.0,1.29051809866,0.638245858816
