,T,INP,start,end
304,-21.92,12.837590461,2016-10-17 17:11:00,2016-10-17 15:10:00
305,-21.94,13.6252778974,2016-10-17 17:11:00,2016-10-17 15:10:00
306,-22.02,14.4960259607,2016-10-17 17:11:00,2016-10-17 15:10:00
307,-22.06,15.4694394785,2016-10-17 17:11:00,2016-10-17 15:10:00
308,-22.23,16.5730047068,2016-10-17 17:11:00,2016-10-17 15:10:00
309,-22.26,17.8469772674,2016-10-17 17:11:00,2016-10-17 15:10:00
310,-22.36,19.353766993,2016-10-17 17:11:00,2016-10-17 15:10:00
311,-22.87,21.1979285741,2016-10-17 17:11:00,2016-10-17 15:10:00
312,-23.01,23.5754663629,2016-10-17 17:11:00,2016-10-17 15:10:00
313,-23.42,32.6549067651,2016-10-17 17:11:00,2016-10-17 15:10:00
314,,,2016-10-31 17:30:00,2016-10-31 10:17:00
315,-19.6,0.0710661862974,2016-10-31 17:30:00,2016-10-31 10:17:00
316,-20.42,0.144388815199,2016-10-31 17:30:00,2016-10-31 10:17:00
317,-20.49,0.220115888694,2016-10-31 17:30:00,2016-10-31 10:17:00
318,-20.59,0.298410465312,2016-10-31 17:30:00,2016-10-31 10:17:00
319,-21.08,0.550602825508,2016-10-31 17:30:00,2016-10-31 10:17:00
320,-21.24,0.641181839719,2016-10-31 17:30:00,2016-10-31 10:17:00
321,-21.39,0.735458963322,2016-10-31 17:30:00,2016-10-31 10:17:00
322,-21.42,0.833749065906,2016-10-31 17:30:00,2016-10-31 10:17:00
323,-21.47,0.936409025654,2016-10-31 17:30:00,2016-10-31 10:17:00
324,-21.62,1.04384555137,2016-10-31 17:30:00,2016-10-31 10:17:00
325,-21.67,1.27498517852,2016-10-31 17:30:00,2016-10-31 10:17:00
326,-21.77,1.39985174035,2016-10-31 17:30:00,2016-10-31 10:17:00
327,-22.02,1.67186798898,2016-10-31 17:30:00,2016-10-31 10:17:00
328,-22.08,1.82091769137,2016-10-31 17:30:00,2016-10-31 10:17:00
329,-22.18,2.336260766,2016-10-31 17:30:00,2016-10-31 10:17:00
330,-22.3,2.53721082833,2016-10-31 17:30:00,2016-10-31 10:17:00
331,-22.38,2.75732671703,2016-10-31 17:30:00,2016-10-31 10:17:00
332,-22.44,3.00065354303,2016-10-31 17:30:00,2016-10-31 10:17:00
333,-22.52,3.27266979166,2016-10-31 17:30:00,2016-10-31 10:17:00
334,-22.73,3.93706256868,2016-10-31 17:30:00,2016-10-31 10:17:00
335,-22.95,4.35812851971,2016-10-31 17:30:00,2016-10-31 10:17:00
