,T,INPs_perL,F,delta_INP_pos,delta_INP_neg
15,-18.05,1.09542532171,0.439024390244,0.485403313466,0.396627484451
16,-18.14,1.17965893532,0.463414634146,0.50204542824,0.413269599225
17,-18.24,1.26781177325,0.487804878049,0.51883715564,0.430061326625
18,-18.28,1.36026641619,0.512195121951,0.535832273064,0.447056444049
19,-18.61,1.45746435143,0.536585365854,0.553087444797,0.464311615782
20,-18.65,1.66823073343,0.585365853659,0.588627873255,0.49985204424
21,-18.68,1.7831110143,0.609756097561,0.607055060376,0.518279231361
22,-18.93,1.90540791632,0.634146341463,0.62603070417,0.537254875155
23,-18.97,2.0361455641,0.658536585366,0.645654095909,0.556878266894
24,-19.04,2.17657604268,0.682926829268,0.66604271036,0.577266881345
25,-19.07,2.32825251443,0.707317073171,0.687338219158,0.598562390143
26,-19.11,2.49313422631,0.731707317073,0.709714988639,0.620939159624
27,-19.13,2.67374170717,0.756097560976,0.733392466926,0.644616637911
28,-19.19,2.87339401457,0.780487804878,0.7586538814,0.669878052385
29,-19.36,3.09658630528,0.80487804878,0.785875630344,0.697099801329
30,-19.65,3.34962085509,0.829268292683,0.815575788241,0.726799959226
31,-19.72,3.64172780542,0.853658536585,0.848499107034,0.759723278019
32,-20.07,3.98721699816,0.878048780488,0.885777829439,0.797002000424
33,-20.15,4.41006159627,0.90243902439,0.929268555291,0.840492726276
34,-20.28,4.95520309641,0.926829268293,0.982366872503,0.893591043488
35,-20.45,5.72353688726,0.951219512195,1.05246701067,0.96369118166
36,-20.82,7.03701217825,0.975609756098,1.16216838483,1.07339255581
0,-16.31,0.222235392351,0.0263157894737,0.643307426405,0.22207935623
1,-16.56,0.450560177252,0.0526315789474,0.826712394056,0.405484323881
2,-17.14,0.685317485308,0.0789473684211,0.97044949332,0.549221423145
3,-17.18,0.926880292585,0.105263157895,1.09427459993,0.673046529755
4,-18.07,1.1756549855,0.131578947368,1.2058214313,0.784593361121
5,-19.79,1.43208547439,0.157894736842,1.30900795414,0.887779883962
6,-20.11,1.69665796034,0.184210526316,1.4061724472,0.984944377022
7,-20.14,1.96990648387,0.210526315789,1.49885307085,1.07762500067
8,-20.18,2.2524194145,0.236842105263,1.5881352024,1.16690713222
9,-20.34,2.54484707959,0.263157894737,1.67482783384,1.25359976366
10,-20.48,2.84791078102,0.289473684211,1.75956204088,1.3383339707
11,-20.71,3.16241351421,0.315789473684,1.84285013424,1.42162206406
12,-20.93,3.48925279048,0.342105263158,1.92512342222,1.50389535205
13,-21.03,3.82943607815,0.368421052632,2.00675766468,1.5855295945
14,-21.05,4.18409953164,0.394736842105,2.08809115673,1.66686308655
15,-21.1,4.5545308864,0.421052631579,2.16943830277,1.7482102326
16,-21.17,4.94219768336,0.447368421053,2.25110044405,1.82987237388
17,-21.29,5.34878238477,0.473684210526,2.33337510583,1.91214703565
18,-21.43,5.77622650467,0.5,2.41656450754,1.99533643736
19,-21.46,6.22678668192,0.526315789474,2.50098402154,2.07975595136
20,-21.49,6.70310679725,0.552631578947,2.58697122221,2.16574315203
21,-21.61,7.74613298853,0.605263157895,2.76517413424,2.34394606406
22,-21.74,8.93864001887,0.657894736842,2.95477368246,2.53354561229
