,Date,start,end,INP,T,,,,,,,,,,,,,,
216,1.6102E+13,1145,1335,,-21,,,,,,,,,,,,,,
217,1.6102E+13,1345,1600,,-21,,,,,,,,,,,,,,
218,1.61021E+13,1442,1636,8.170987863,-21,,,,,,,,,,,,,,
219,1.61021E+13,1142,1636,3.0958313,-21,,,,,,,,,,,,,,
220,1.61024E+13,1205,1537,2.847685194,-21,,,,,,,,,,,,,,
221,1.61027E+13,1149,1558,4.998724347,-21,,,,,,,,,,,,,,
222,1.61031E+13,1017,1730,0.930175002,-21,,,,,,,,,,,,,,
223,1.61101E+13,1110,1410,0.244578593,-21,,,,,,,,,,,,,,
224,1.61102E+13,1029,1529,0.636204976,-21,,,,,16092612001500.00,1200,1500,0.611233991,-20,0.611233991,16092612001500.00,,,
225,1.60926E+13,1200,1500,0.611233991,-20,,,,,16092612111512.00,1211,1512,0.391435726,-20,0.391435726,16092612111512.00,,,
226,1.60926E+13,1211,1512,0.391435726,-20,,,,,16092611521452.00,1152,1452,1.69210559,-20,1.69210559,16092611521452.00,,,
227,1.60926E+13,1152,1452,1.69210559,-20,,,,,16092710571426.00,1057,1426,0.56817515,-20,0.56817515,16092710571426.00,,,
228,1.60927E+13,1057,1426,0.56817515,-20,,,,,16092812351535.00,1235,1535,0.470312667,-20,0.470312667,16092812351535.00,,,
229,1.60928E+13,1235,1535,0.470312667,-20,,,,,16092813341540.00,1334,1540,,-20,0,16092813341540.00,,,
230,1.60928E+13,1334,1540,,-20,,,,,16093014211621.00,1421,1621,0.988,-20,0.988,16093014211621.00,,,
231,1.6093E+13,1421,1621,0.988,-20,,,,,16093011201355.00,1120,1355,0.835423447,-20,0.835423447,16093011201355.00,,,
232,1.6093E+13,1120,1355,0.835423447,-20,,,,,16100313351636.00,1335,1636,1.766396591,-20,1.766396591,16100313351636.00,,,
233,1.61003E+13,1335,1636,1.766396591,-20,,,,,16100310261327.00,1026,1327,,-20,0,16100310261327.00,,,
234,1.61003E+13,1026,1327,,-20,,,,,16100313471623.00,1347,1623,,-20,0,16100313471623.00,,,
235,1.61003E+13,1347,1623,,-20,,,,,16100310321335.00,1032,1335,0.512892247,-20,0.512892247,16100310321335.00,,,
236,1.61003E+13,1032,1335,0.512892247,-20,,,,,16100410331320.00,1033,1320,2.804128827,-20,2.804128827,16100410331320.00,,,
237,1.61004E+13,1033,1320,2.804128827,-20,,,,,16100511161559.00,1116,1559,11.37411952,-20,11.37411952,16100511161559.00,,,
238,1.61005E+13,1116,1559,11.37411952,-20,,,,,16100513391439.00,1339,1439,11.06767894,-20,11.06767894,16100513391439.00,,,
239,1.61005E+13,1339,1439,11.06767894,-20,,,,,16100614241654.00,1424,1654,0.698731425,-20,0.698731425,16100614241654.00,,,
240,1.61006E+13,1424,1654,0.698731425,-20,,,,,16100611401410.00,1140,1410,0.163270062,-20,0.163270062,16100611401410.00,,,
241,1.61006E+13,1140,1410,0.163270062,-20,,,,,16100614241654.00,1424,1654,7.245840737,-20,7.245840737,16100614241654.00,,,
242,1.61006E+13,1424,1654,7.245840737,-20,,,,,16100611391413.00,1139,1413,1.323877517,-20,1.323877517,16100611391413.00,,,
243,1.61006E+13,1139,1413,1.323877517,-20,,,,,16100614201658.00,1420,1658,3.91811916,-20,3.91811916,16100614201658.00,,,
244,1.61006E+13,1420,1658,3.91811916,-20,,,,,16100713021502.00,1302,1502,0.83589675,-20,0.83589675,16100713021502.00,,,
245,1.61007E+13,1302,1502,0.83589675,-20,,,,,16100711211306.00,1121,1306,,-20,0,16100711211306.00,,,
246,1.61007E+13,1121,1306,,-20,,,,,16100710411241.00,1041,1241,1.605711168,-20,1.605711168,16100710411241.00,,,
247,1.61007E+13,1041,1241,1.605711168,-20,,,,,16101012391339.00,1239,1339,1.931449058,-20,1.931449058,16101012391339.00,,,
248,1.6101E+13,1239,1339,1.931449058,-20,,,,,16101013501636.00,1350,1636,0.430920076,-20,0.430920076,16101013501636.00,,,
249,1.6101E+13,1350,1636,0.430920076,-20,,,,,16101011291636.00,1129,1636,0.502459231,-20,0.502459231,16101011291636.00,,,
250,1.6101E+13,1129,1636,0.502459231,-20,,,,,16101110401403.00,1040,1403,0.679138876,-20,0.679138876,16101110401403.00,,,
