,T,INPs_perL,F,K,INPs_perdrop,INPerr_pos,INPerr_neg,delta_INP_pos,delta_INP_neg,run_date,sample_date
10,-20.75,1.33437188435,0.275,321.583624127,0.321583624127,2.16321411568,0.704782765044,0.828842231336,0.629589119303,2016-11-23,2016-10-13
11,-20.93,1.47997902049,0.3,356.674943939,0.356674943939,2.3475774843,0.81163366872,0.867598463806,0.668345351773,2016-11-23,2016-10-13
12,-21.03,1.63088210834,0.325,393.04258811,0.39304258811,2.53668275901,0.924334569701,0.905800650671,0.706547538638,2016-11-23,2016-10-13
13,-21.14,1.78748097964,0.35,430.782916092,0.430782916092,2.731099417,1.0431156543,0.943618437367,0.744365325334,2016-11-23,2016-10-13
14,-21.22,2.11960839737,0.4,510.825623766,0.510825623766,3.13829813888,1.30017176789,1.01868974151,0.81943662948,2016-11-23,2016-10-13
15,-21.28,2.48065145542,0.45,597.837000756,0.597837000756,3.57453906605,1.58601695682,1.09388761063,0.894634498598,2016-11-23,2016-10-13
16,-21.3,2.67368056594,0.475,644.357016391,0.644357016391,3.80552722769,1.74108701621,1.13184666176,0.932593549722,2016-11-23,2016-10-13
17,-21.39,2.87612937992,0.5,693.14718056,0.69314718056,4.04634243833,1.90516943354,1.17021305841,0.970959946382,2016-11-23,2016-10-13
18,-21.43,3.08896462634,0.525,744.440474947,0.744440474947,4.29808279094,2.07909957377,1.2091181646,1.00986505257,2016-11-23,2016-10-13
19,-21.46,3.31330994281,0.55,798.507696218,0.798507696218,4.5620120553,2.26386094236,1.24870211248,1.04944900045,2016-11-23,2016-10-13
20,-21.5,3.55048178447,0.575,855.666110058,0.855666110058,4.83959944577,2.46061723521,1.2891176613,1.08986454927,2016-11-23,2016-10-13
21,-21.52,4.06983092536,0.625,980.829253012,0.980829253012,5.44297738882,2.89593757393,1.37314646346,1.17389335143,2016-11-23,2016-10-13
22,-21.71,4.35610840041,0.65,1049.8221245,1.0498221245,5.77328431424,3.13818559861,1.41717591383,1.2179228018,2016-11-23,2016-10-13
23,-21.78,4.66361035955,0.675,1123.93009665,1.12393009665,6.12649688891,3.39997694223,1.46288652935,1.26363341732,2016-11-23,2016-10-13
24,-21.81,4.99573777729,0.7,1203.97280433,1.20397280433,6.50633300696,3.68439565964,1.51059522968,1.31134211764,2016-11-23,2016-10-13
25,-21.91,5.35678083533,0.725,1290.98418132,1.29098418132,6.91747224407,3.99534253864,1.56069140873,1.3614382967,2016-11-23,2016-10-13
26,-21.95,5.75225875983,0.75,1386.29436112,1.38629436112,7.36592326724,4.33784736447,1.6136645074,1.41441139537,2016-11-23,2016-10-13
27,-22.08,6.18943932273,0.775,1491.65487678,1.49165487678,7.85958493103,4.71854682646,1.6701456083,1.47089249627,2016-11-23,2016-10-13
28,-22.12,6.67816561176,0.8,1609.43791243,1.60943791243,8.40913840988,5.14644592567,1.73097279812,1.53171968609,2016-11-23,2016-10-13
29,-22.27,7.23223778033,0.825,1742.96930506,1.74296930506,9.02953679279,5.63419187989,1.79729901247,1.59804590043,2016-11-23,2016-10-13
30,-22.31,8.62838813975,0.875,2079.44154168,2.07944154168,10.5823249118,6.87370447972,1.95393677207,1.75468366003,2016-11-23,2016-10-13
31,-22.38,9.55429499168,0.9,2302.58509299,2.30258509299,11.605189346,7.70265374938,2.05089435433,1.8516412423,2016-11-23,2016-10-13
32,-22.42,10.7479965371,0.925,2590.26716545,2.59026716545,12.9171987782,8.77804740805,2.1692022411,1.96994912907,2016-11-23,2016-10-13
