OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42648.67112,7.054,2.015,3.023,1.008,0,1.008,1.008,0,0,0,0,0,0,0,0,0,5.67,5.67,11,0,15.116,0.992,3.85,x,0.8,3.84,5.9,1,3.94,28.66
42648.67113,5.038,4.031,4.031,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,6.33,9,0,0,16.123,0.992,3.85,x,1,3.68,5.52,1,3.94,28.26
42648.67114,7.053,1.008,2.015,2.015,1.008,0,0,0,0,0,0,1.008,0,0,0,0,6.33,7.33,0,0,14.107,0.992,3.85,x,0.76,1.99,80.59,0.99,3.91,29.16
42648.67116,3.024,5.039,1.008,3.024,1.008,0,1.008,2.016,0,0,0,1.008,0,0,0,0,6.33,7.33,0,11.33,17.134,0.992,3.85,x,0.97,7.58,101.79,0.99,3.97,30.39
42648.67117,5.038,3.023,3.023,2.015,0,1.008,0,0,0,0,0,0,0,0,0,0,6,7.33,7.67,0,14.107,0.992,3.86,x,0.9,2.54,2.85,0.99,3.94,29.93
42648.67118,3.023,2.015,2.015,0,1.008,0,0,1.008,0,0,0,0,0,0,0,0,7.33,0,0,11,9.068,0.993,3.85,x,0.5,2.93,9.96,0.98,3.93,29.6
42648.67119,4.03,3.022,4.03,1.007,0,0,0,1.007,0,0,0,0,0,0,0,0,6,7,0,9.67,13.096,0.993,3.86,x,0.77,3.09,10.04,0.98,3.91,29.29
42648.6712,6.045,5.038,2.015,1.008,2.015,1.008,0,1.008,0,0,0,0,0,0,0,0,5.67,6.33,8.33,13.67,18.136,0.993,3.89,x,1.04,5.13,12.43,0.98,3.93,29.02
42648.67121,7.053,0,2.015,3.023,1.008,1.008,3.023,0,0,2.015,0,0,0,0,0,0,0,7,11.67,0,19.145,0.992,3.89,x,1.02,9.56,80.1,0.98,4.02,29.82
42648.67123,6.044,5.037,2.015,3.022,2.015,0,1.007,1.007,1.007,0,0,0,0,0,0,0,6.67,7.67,0,9,21.155,0.993,3.88,x,1.24,7.83,32.91,0.99,4.08,29.87
42648.67124,6.046,4.031,10.077,1.008,1.008,1.008,1.008,1.008,0,1.008,0,0,0,0,0,0,6.33,7,9,11.67,26.2,0.992,3.88,x,1.7,8.19,49.8,1,4.14,30.17
42648.67125,4.032,3.024,1.008,3.024,1.008,1.008,2.016,0,1.008,0,0,0,1.008,0,0,0,8,7.33,9,0,17.135,0.992,3.83,x,1,7.91,121.7,1,4.2,31.53
42648.67126,5.044,3.026,4.035,2.017,0,1.009,0,0,0,0,0,0,0,0,0,0,6.67,7.33,8.33,0,15.131,0.991,3.82,x,1.01,2.73,3.06,1,4.18,31.12
42648.67127,6.043,3.021,1.007,0,3.021,1.007,2.014,0,0,0,0,0,0,1.007,0,0,6,0,8.33,0,17.121,0.993,3.84,x,0.91,6.72,104.75,1,4.21,32.18
42648.67128,6.047,4.031,3.023,2.016,2.016,0,0,0,0,0,0,0,0,0,0,0,5.33,10.33,0,0,17.133,0.992,3.88,x,1.11,2.82,2.98,1,4.19,31.77
42648.6713,7.055,4.031,2.016,2.016,0,0,0,0,1.008,0,0,0,0,0,0,0,6,7.33,0,0,16.125,0.992,3.89,x,0.8,2.77,19.01,0.99,4.17,31.59
42648.67131,13.101,3.023,2.016,1.008,1.008,0,0,0,1.008,0,0,0,0,0,0,0,6,7,0,0,21.163,0.992,3.9,x,0.87,3.08,19.33,0.99,4.16,31.42
42648.67132,4.03,3.023,3.023,3.023,1.008,1.008,0,0,0,0,0,0,0,0,0,0,6.67,8.33,8.33,0,15.113,0.993,3.89,x,1.11,3.46,3.85,0.99,4.15,31.04
42648.67133,6.046,3.023,3.023,2.015,1.008,1.008,0,0,0,0,0,0,0,0,0,0,6.67,7.33,7.67,0,16.123,0.992,3.88,x,1.03,3.16,3.54,1,4.14,30.67
42648.67134,3.023,2.016,1.008,4.031,1.008,2.016,0,0,0,0,0,0,0,0,0,0,5.67,8.67,8.33,0,13.101,0.992,3.9,x,1.05,4.41,5.1,1,4.14,30.33
42648.67135,4.031,5.038,3.023,2.015,1.008,2.015,1.008,1.008,0,1.008,0,0,0,0,0,0,7.67,7,9.33,11.67,20.153,0.992,3.83,x,1.25,8.51,50.89,1,4.2,30.6
42648.67137,3.023,3.023,6.045,0,0,1.008,1.008,2.015,0,0,0,0,0,0,0,0,7.67,0,9.67,12,16.12,0.993,3.8,x,0.98,7.62,23.79,1,4.24,30.51
42648.67138,13.101,3.023,1.008,1.008,2.016,0,1.008,0,0,0,0,0,0,0,0,0,6,7,0,0,21.163,0.992,3.81,x,0.94,3.94,5.86,1,4.24,30.19
