OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42643.51045,12.093,5.039,5.039,2.016,1.008,0,0,0,0,0,0,0,0,0,0,0,5.33,8.67,0,0,25.194,0.992,4.17,x,1.28,2.54,2.63,1.08,4.16,11.2
42643.51046,5.038,4.03,6.045,1.008,1.008,0,1.008,0,0,0,0,0,0,0,0,0,4.67,7,0,0,18.135,0.993,4.22,x,1.09,3.66,5.34,1.08,4.15,11.08
42643.51048,13.098,3.023,4.03,1.008,1.008,2.015,0,0,0,0,0,0,0,0,0,0,7.33,6.33,7.33,0,24.181,0.993,4.17,x,1.16,3.85,4.46,1.09,4.15,10.95
42643.51049,7.054,0,2.015,2.015,0,1.008,0,1.008,0,0,0,0,0,0,0,0,0,7.67,11,17.67,13.1,0.992,4.17,x,0.64,3.71,10.42,1.08,4.14,10.94
42643.5105,5.038,1.008,3.023,1.008,2.015,3.023,0,0,0,0,0,0,0,0,0,0,7.67,7,9.67,0,15.115,0.992,4.15,x,1,4.95,5.89,1.08,4.15,10.84
42643.51051,9.069,0,2.015,2.015,0,1.008,1.008,0,0,0,0,0,0,0,0,0,0,7.33,7,0,15.116,0.992,4.15,x,0.71,3.65,5.58,1.07,4.14,10.75
42643.51052,8.059,2.015,5.037,2.015,0,0,1.007,1.007,0,0,0,0,0,0,0,0,6.67,8.33,0,15.67,19.141,0.993,4.13,x,0.99,4.94,13.08,1.07,4.16,10.79
42643.51053,7.053,6.046,2.015,1.008,2.015,0,1.008,0,0,1.008,0,0,0,0,0,0,6.67,7.67,0,0,20.152,0.992,4.09,x,1,4.58,37.25,1.07,4.17,11.26
42643.51055,6.046,5.038,3.023,2.015,0,0,0,1.008,0,0,0,0,0,0,0,0,10,9,0,10.33,17.13,0.992,3.89,x,0.94,3.42,10.32,1.06,4.15,11.24
42643.51056,3.023,2.015,2.015,1.008,1.008,1.008,0,0,0,0,0,0,0,0,0,0,6,7.67,13.67,0,10.077,0.992,3.9,x,0.69,2.5,2.86,1.06,4.12,11.1
42643.51057,7.054,5.038,2.015,1.008,2.015,3.023,0,0,0,0,0,0,0,0,0,0,6.33,7.67,7.33,0,20.153,0.992,3.9,x,1.23,5.4,6.4,1.06,4.15,11.02
42643.51058,3.023,7.055,2.016,2.016,2.016,1.008,1.008,0,0,0,0,0,0,0,0,0,7.33,7.33,7.67,0,18.141,0.992,3.84,x,1.25,5.51,7.72,1.06,4.17,10.96
