,# temperatures,INP,ff,K,date
29,-28.42,0.0,0.697674418605,1122.14278608,2016-10-11
30,-28.59,0.0,0.720930232558,1196.25075823,2016-10-11
31,-28.71,0.0,0.744186046512,1276.29346591,2016-10-11
32,-28.74,0.0,0.767441860465,1363.3048429,2016-10-11
33,-28.77,0.0,0.790697674419,1458.6150227,2016-10-11
34,-28.77,0.0,0.813953488372,1563.97553836,2016-10-11
35,-28.97,0.0,0.837209302326,1681.75857401,2016-10-11
36,-29.05,0.0,0.860465116279,1815.28996664,2016-10-11
37,-29.1,0.0,0.883720930233,1969.44064647,2016-10-11
38,-30.04,0.0,0.906976744186,2151.76220326,2016-10-11
39,-30.34,0.0,0.93023255814,2374.90575457,2016-10-11
40,-31.0,0.0,0.953488372093,2662.58782703,2016-10-11
41,-31.48,0.0,0.976744186047,3068.05293513,2016-10-11
42,-31.59,0.0,1.0,3761.20011569,2016-10-11
0,-17.42,0.0,0.0263157894737,-0.0,2016-10-13
1,-22.26,0.0,0.0526315789474,26.6682470822,2016-10-13
2,-23.68,0.0,0.0789473684211,54.0672212703,2016-10-13
3,-24.29,0.0,0.105263157895,82.238098237,2016-10-13
4,-25.04,0.0,0.131578947368,111.22563511,2016-10-13
5,-25.13,0.0,0.157894736842,141.07859826,2016-10-13
6,-25.15,0.0,0.184210526316,171.850256927,2016-10-13
7,-25.6,0.0,0.210526315789,203.598955241,2016-10-13
8,-25.93,0.0,0.236842105263,236.388778064,2016-10-13
9,-25.95,0.0,0.263157894737,270.29032974,2016-10-13
10,-26.58,0.0,0.289473684211,305.381649551,2016-10-13
11,-27.02,0.0,0.315789473684,341.749293722,2016-10-13
12,-27.15,0.0,0.342105263158,379.489621705,2016-10-13
13,-27.17,0.0,0.368421052632,418.710334858,2016-10-13
14,-27.21,0.0,0.394736842105,459.532329378,2016-10-13
15,-27.78,0.0,0.421052631579,502.091943797,2016-10-13
16,-28.07,0.0,0.447368421053,546.543706368,2016-10-13
17,-28.3,0.0,0.473684210526,593.063722003,2016-10-13
18,-28.46,0.0,0.5,641.853886172,2016-10-13
19,-29.08,0.0,0.526315789474,693.14718056,2016-10-13
20,-29.22,0.0,0.552631578947,747.21440183,2016-10-13
21,-29.29,0.0,0.578947368421,804.37281567,2016-10-13
22,-29.48,0.0,0.605263157895,864.997437487,2016-10-13
23,-29.68,0.0,0.631578947368,929.535958624,2016-10-13
24,-29.72,0.0,0.657894736842,998.528830111,2016-10-13
25,-29.84,0.0,0.684210526316,1072.63680226,2016-10-13
26,-29.91,0.0,0.710526315789,1152.67950994,2016-10-13
27,-29.97,0.0,0.736842105263,1239.69088693,2016-10-13
28,-30.21,0.0,0.763157894737,1335.00106673,2016-10-13
29,-30.43,0.0,0.789473684211,1440.36158239,2016-10-13
30,-30.45,0.0,0.815789473684,1558.14461805,2016-10-13
31,-30.77,0.0,0.842105263158,1691.67601067,2016-10-13
32,-30.78,0.0,0.868421052632,1845.8266905,2016-10-13
33,-30.85,0.0,0.894736842105,2028.14824729,2016-10-13
34,-31.61,0.0,0.921052631579,2251.29179861,2016-10-13
35,-31.96,0.0,0.947368421053,2538.97387106,2016-10-13
36,-34.96,0.0,0.973684210526,2944.43897917,2016-10-13
37,-35.02,0.0,1.0,3637.58615973,2016-10-13
0,-23.36,0.0,0.025,-0.0,2016-10-13
1,-24.68,0.0,0.05,25.3178079843,2016-10-13
2,-24.81,0.0,0.075,51.2932943876,2016-10-13
3,-25.0,0.0,0.1,77.9615414697,2016-10-13
4,-25.3,0.0,0.125,105.360515658,2016-10-13
5,-25.7,0.0,0.15,133.531392625,2016-10-13
6,-26.1,0.0,0.175,162.518929498,2016-10-13
7,-26.32,0.0,0.2,192.371892647,2016-10-13
8,-26.58,0.0,0.225,223.143551314,2016-10-13
9,-26.8,0.0,0.25,254.892249629,2016-10-13
10,-26.84,0.0,0.275,287.682072452,2016-10-13
11,-26.87,0.0,0.3,321.583624127,2016-10-13
12,-26.98,0.0,0.325,356.674943939,2016-10-13
13,-27.09,0.0,0.35,393.04258811,2016-10-13
14,-27.11,0.0,0.375,430.782916092,2016-10-13
15,-27.32,0.0,0.4,470.003629246,2016-10-13
16,-27.4,0.0,0.425,510.825623766,2016-10-13
17,-27.77,0.0,0.45,553.385238185,2016-10-13
18,-27.82,0.0,0.475,597.837000756,2016-10-13
19,-27.97,0.0,0.5,644.357016391,2016-10-13
20,-28.04,0.0,0.525,693.14718056,2016-10-13
21,-28.17,0.0,0.55,744.440474947,2016-10-13
22,-28.22,0.0,0.575,798.507696218,2016-10-13
23,-28.22,0.0,0.6,855.666110058,2016-10-13
24,-28.43,0.0,0.625,916.290731874,2016-10-13
25,-28.47,0.0,0.65,980.829253012,2016-10-13
26,-28.51,0.0,0.675,1049.8221245,2016-10-13
27,-28.58,0.0,0.7,1123.93009665,2016-10-13
28,-28.58,0.0,0.725,1203.97280433,2016-10-13
29,-28.76,0.0,0.75,1290.98418132,2016-10-13
30,-29.17,0.0,0.775,1386.29436112,2016-10-13
31,-29.74,0.0,0.8,1491.65487678,2016-10-13
32,-29.8,0.0,0.825,1609.43791243,2016-10-13
33,-29.85,0.0,0.85,1742.96930506,2016-10-13
34,-30.23,0.0,0.875,1897.11998489,2016-10-13
35,-30.42,0.0,0.9,2079.44154168,2016-10-13
36,-31.68,0.0,0.925,2302.58509299,2016-10-13
37,-32.55,0.0,0.95,2590.26716545,2016-10-13
38,-33.32,0.0,0.975,2995.73227355,2016-10-13
39,-33.32,0.0,1.0,3688.87945411,2016-10-13
0,-23.77,0.0,0.0208333333333,-0.0,2016-10-13
1,-23.92,0.0,0.0416666666667,21.0534091978,2016-10-13
2,-23.94,0.0,0.0625,42.5596144188,2016-10-13
3,-24.04,0.0,0.0833333333333,64.5385211376,2016-10-13
4,-24.05,0.0,0.104166666667,87.0113769896,2016-10-13
5,-24.46,0.0,0.125,110.000895214,2016-10-13
6,-24.46,0.0,0.145833333333,133.531392625,2016-10-13
7,-24.46,0.0,0.166666666667,157.628944204,2016-10-13
8,-24.46,0.0,0.1875,182.321556794,2016-10-13
9,-24.63,0.0,0.208333333333,207.639364778,2016-10-13
10,-24.63,0.0,0.229166666667,233.614851182,2016-10-13
11,-24.73,0.0,0.25,260.283098264,2016-10-13
12,-24.76,0.0,0.270833333333,287.682072452,2016-10-13
13,-25.06,0.0,0.291666666667,315.852949418,2016-10-13
14,-25.06,0.0,0.3125,344.840486292,2016-10-13
15,-25.31,0.0,0.333333333333,374.693449441,2016-10-13
16,-25.37,0.0,0.354166666667,405.465108108,2016-10-13
17,-25.54,0.0,0.375,437.213806423,2016-10-13
18,-25.69,0.0,0.395833333333,470.003629246,2016-10-13
19,-25.86,0.0,0.416666666667,503.905180921,2016-10-13
20,-25.86,0.0,0.4375,538.996500733,2016-10-13
